Institution,Query,Link 1,Link 2,Link 3
Emory University,Emory University SNU frat,https://www.greekrank.com/uni/163/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/163/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/163/fraternity/SNU-Sigma-Nu/92/rating/
Trinity College,Trinity College SNU frat,https://www.greekrank.com/uni/455/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/455/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/455/fraternity/SNU-Sigma-Nu/92/rating/
University of West Georgia,University of West Georgia SNU frat,https://www.greekrank.com/uni/86/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/86/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/86/fraternity/SNU-Sigma-Nu/92/rating/
Furman University,Furman University SNU frat,https://www.greekrank.com/uni/181/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/181/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/181/fraternity/SNU-Sigma-Nu/92/rating/
University of Louisiana at Lafayette,University of Louisiana at Lafayette SNU frat,https://louisiana.edu/directory/fraternity-sorority-life,https://louisiana.edu/directory/fraternity-sorority-life,https://louisiana.edu/directory/fraternity-sorority-life
University of Georgia,University of Georgia SNU frat,https://www.ugasigmanu.com/,https://www.greekrank.com/uni/85/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/85/fraternity/SNU-Sigma-Nu/92/rating/
University of Rhode Island,University of Rhode Island SNU frat,https://web.uri.edu/greek/fraternities/,https://web.uri.edu/greek/fraternities/,https://web.uri.edu/greek/fraternities/
University of California-Los Angeles,University of California-Los Angeles SNU frat,https://uclasigmanu.com/,https://www.greekrank.com/uni/54/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/54/fraternity/SNU-Sigma-Nu/92/rating/
Texas Christian University,Texas Christian University SNU frat,https://greeks.tcu.edu/,https://greeks.tcu.edu/,https://www.greekrank.com/uni/79/fraternity/SNU-Sigma-Nu/92/rating/rating-2216474/
Sam Houston State University,Sam Houston State University SNU frat,https://www.greekrank.com/uni/397/fraternities/,https://www.greekrank.com/uni/397/fraternities/,https://www.greekrank.com/uni/397/fraternities/
University of Wisconsin-Madison,University of Wisconsin-Madison SNU frat,https://fsl.wisc.edu/,https://fsl.wisc.edu/,https://www.greekrank.com/uni/64/fraternities/
University of Wyoming,University of Wyoming SNU frat,https://www.uwyo.edu/fsl/aboutus/chapter-page/sigma-nu.html,https://www.greekrank.com/uni/360/fraternity/SNU-Sigma-Nu/92/rating/rating-1926980/,https://www.greekrank.com/uni/360/fraternity/SNU-Sigma-Nu/92/rating/rating-1926980/
University of North Carolina Asheville,University of North Carolina Asheville SNU frat,https://www.greekrank.com/uni/571/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/571/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/571/fraternity/SNU-Sigma-Nu/92/rating/
