Institution,Query,Link 1,Link 2,Link 3
University of Rhode Island,University of Rhode Island Delta_Chi frat,https://web.uri.edu/greek/fraternities/delta-chi/,https://web.uri.edu/greek/fraternities/delta-chi/,https://www.greekrank.com/uni/282/fraternity/D-Chi-Delta-Chi/46/rating/
University of California-Los Angeles,University of California-Los Angeles Delta_Chi frat,https://fsl.ucla.edu/community-directory,https://fsl.ucla.edu/community-directory,https://www.greekrank.com/uni/54/fraternity/Theta-Delt-Theta-Delta-Chi/102/rating/
University of Wisconsin-Madison,University of Wisconsin-Madison Delta_Chi frat,https://www.greekrank.com/uni/64/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/64/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/64/fraternity/D-Chi-Delta-Chi/46/rating/
University of Wyoming,University of Wyoming Delta_Chi frat,https://www.uwyo.edu/fsl/aboutus/our-history.html,https://www.uwyo.edu/fsl/aboutus/our-history.html,https://www.greekrank.com/uni/360/fraternities/
University of California-Davis,University of California-Davis Delta_Chi frat,https://www.greekrank.com/uni/316/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/316/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/316/fraternity/D-Chi-Delta-Chi/46/rating/
Central Michigan University,Central Michigan University Delta_Chi frat,https://www.cmich.edu/student-life/clubs-and-recreation/student-activities-involvement/fraternity-sorority-life/our-community,https://www.cmich.edu/student-life/clubs-and-recreation/student-activities-involvement/fraternity-sorority-life/our-community,https://www.cmich.edu/student-life/clubs-and-recreation/student-activities-involvement/fraternity-sorority-life/our-community
East Stroudsburg University of Pennsylvania,East Stroudsburg University of Pennsylvania Delta_Chi frat,https://warriorlink.esu.edu/organization/deltachi,https://www.esu.edu/fraternity-sorority-life/explore.cfm,https://www.esu.edu/fraternity-sorority-life/explore.cfm
Georgia Institute of Technology-Main Campus,Georgia Institute of Technology-Main Campus Delta_Chi frat,http://www.gtdeltachi.com/,https://gatech.campuslabs.com/engage/organization/delta-chi,https://en.wikipedia.org/wiki/List_of_Georgia_Tech_fraternities_and_sororities
University of Miami,University of Miami Delta_Chi frat,https://www.greekrank.com/uni/22/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/22/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/22/fraternity/D-Chi-Delta-Chi/46/rating/
University of Michigan-Ann Arbor,University of Michigan-Ann Arbor Delta_Chi frat,https://www.greekrank.com/uni/62/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/62/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/62/fraternity/D-Chi-Delta-Chi/46/rating/
University of Central Oklahoma,University of Central Oklahoma Delta_Chi frat,https://www.uco.edu/students/involvement/fsl/,https://www.uco.edu/students/involvement/fsl/,https://www.greekrank.com/uni/465/fraternity/D-Chi-Delta-Chi/46/rating/
