Chapter,Charter date and range,Institution,City,State or province,Status,Reference
Upsilon Sigma,"January 12, 1968 – May 1, 1997;
2021 – 2025",Utah State University,Logan,UT,Inactive,
Lambda Omega,"February 3, 1968 – July 26, 2004;
February 5, 2011",University of Western Ontario,London,ON,Active,
Chi Deuteron,"September 28, 1968",Kansas State University,Manhattan,KS,Active,
Phi Tau,"October 26, 1968 – May 1, 2010;
April 20, 2014 – July 2018",University of Texas at Arlington,Arlington,TX,Inactive,
Phi Kappa,"November 11, 1968 – October 18, 1991;
April 19, 2008",Colorado State University,Fort Collins,CO,Active,
Phi Alpha,"May 10, 1969 – February 7, 1991;
November 16, 2002 – 2024",University of Arkansas,Fayetteville,AR,Inactive,
Beta Upsilon,"November 1, 1969 – 2017;
2022",University of Vermont,Burlington,VT,Active,[13][bt]
Rho Phi,"November 22, 1969",Rose-Hulman Institute of Technology,Terre Haute,IN,Active,[bu]
Epsilon Alpha,"October 24, 1970",University of Alberta,Edmonton,AB,Active,
Sigma Mu,"November 21, 1970",Mississippi State University,Starkville,MS,Active,
Chi Omicron,"February 20, 1971 – Fall 2006;
Fall 2008–2024",University of Cincinnati,Cincinnati,OH,Inactive,[14]
Iota Sigma,"March 27, 1971 – Spring 2007;
February 16, 2013 – 2022",Indiana State University,Terre Haute,IN,Inactive,
Kappa Phi,"May 8, 1971 – 1981;
2016 – 2024",University of South Florida,Tampa,FL,Inactive,
Rho Alpha,"May 13, 1972",Virginia Tech,Blacksburg,VA,Active,
Kappa Mu,"November 4, 1972 – May 1999;
October 11, 2014",Western Michigan University,Kalamazoo,MI,Active,
Mu Tau,"November 18, 1972 – June 12, 2012;
2022",University of Memphis,Memphis,TN,Active,
Mu Alpha,"January 19, 1974 – January 26, 2013",West Virginia University,Morgantown,WV,Inactive,
Phi Upsilon,"March 23, 1974",University of North Alabama,Florence,AL,Active,
Chi Alpha,"April 6, 1974 – 1988;
2017",Clemson University,Clemson,SC,Active,
Epsilon Chi,"April 26, 1975 – 2023",University of Wisconsin–Eau Claire,Eau Claire,WI,Inactive,
Phi Iota,"May 3, 1975 – 1983",Idaho State University,Pocatello,ID,Inactive,
Rho Upsilon,"May 21, 1977 – September 2019","University of California, Riverside",Riverside,CA,Inactive,
Omega Deuteron,"April 29, 1978 – May 1988;
2015",Old Dominion University,Norfolk,VA,Active,
Phi Deuteron (see Phi Third),"January 27, 1979 – July 2019;
2023","University of Maryland, College Park",College Park,MD,Active,
Alpha Mu,"March 24, 1979 – May 17, 1997;
March 22, 2003 – 2018;
2023",Texas A&M University,College Station,TX,Active,
Tau Chi,"November 1, 1980",Texas Christian University,Fort Worth,TX,Active,
Theta Tau,"February 28, 1981",Tennessee Technological University,Cookeville,TN,Active,
Delta Upsilon,"April 25, 1981 – 1989;
2025",University of Denver,Denver,CO,Active,
Tau Upsilon,"April 3, 1982 – May 20, 2000;
December 2, 2006",Tulane University,New Orleans,LA,Active,
Iota Chi,"May 8, 1982","University of California, Irvine",Irvine,CA,Active,
Beta Pi,"November 13, 1982",Bradley University,Peoria,IL,Active,
Delta Phi,"January 22, 1983 – June 11, 2011",Jacksonville University,Jacksonville,FL,Inactive,
Upsilon Chi,"February 4, 1984",University of Calgary,Calgary,AB,Active,
Beta Gamma,"March 31, 1984 – August 2022",Bowling Green State University,Bowling Green,OH,Inactive,
Tau Nu,"November 3, 1984 – 2019;
2021",Rensselaer Polytechnic Institute,Troy,NY,Active,[15][bv]
Upsilon Lambda,"March 9, 1985 – June 11, 2011",La Salle University,Philadelphia,PA,Inactive,
Gamma Kappa,"March 23, 1985",Colorado School of Mines,Golden,CO,Active,
Alpha Omicron,"September 27, 1986",University of Akron,Akron,OH,Active,
Sigma Delta,"November 1, 1986 – June 1995;
May 4, 2013 – August 2020",San Diego State University,San Diego,CA,Inactive,
